,MMSI,type,zone,entryTime,entryLatitude,entryLongitude,entryDraft,leaveTime,leaveLatitude,leaveLongitude,leaveDraft,distance,actTimeInZone,avg_speed,Temperature [2 m elevation corrected] (°C),Relative Humidity [2 m] (%),Mean Sea Level Pressure [MSL] (hPa),Precipitation Total (mm),Snowfall Amount (cm),Cloud Cover Total (%),Cloud Cover High [high cld lay] (%),Cloud Cover Medium [mid cld lay] (%),Cloud Cover Low [low cld lay] (%),Wind Speed [10 m] (km/h),Wind Direction [10 m] (°),Wind Speed [80 m] (km/h),Wind Direction [80 m] (°),Wind Speed [900 mb] (km/h),Wind Direction [900 mb] (°),Wind Speed [850 mb] (km/h),Wind Direction [850 mb] (°),Geopotential Height [1000 mb] (Gpm),Geopotential Height [850 mb] (Gpm),Temperature [1000 mb] (°C),Temperature [850 mb] (°C)
36,256452000,Cargo ship,Japan,1515148560,41.634023,143.042112,12.4,1515149121,41.633053000000004,143.00434199999998,12.4,3.140846425262109,561,20.155164226280913,1.7315333333333331,86.28833333333333,1011.9322083333334,0.0,0.0,100.0,0.0,1.2883333333333333,100.0,20.953994315833334,284.749444625,30.398532023749997,285.3724414083333,37.11534373416667,271.295880925,39.02119437708333,268.0050152041666,94.32208333333334,1367.6441666666665,-0.02880416666666666,-10.640675
37,256709000,Cargo ship,Japan,1570685391,41.628633,142.96123300000002,5.4,1570685403,41.62865,142.962283,5.4,0.08729063115305695,12,26.187189345917087,16.779933333333332,76.4975,1020.0502499999999,0.0,0.0,4.991666666666667,0.0,0.0,4.991666666666667,11.079892858333332,240.18318184166665,15.587151403333332,239.00504581666667,16.08761,225.00756296666668,16.579236255,225.99292295833334,167.5025,1524.0016666666663,14.95490833333333,9.779516666666666
38,256968000,Cargo ship,Japan,1560130776,41.6334,142.927683,14.3,1560131717,41.633333,143.028333,14.3,8.364857989582948,941,32.0015821067998,10.475116666666667,92.0,1014.2209305555555,0.0,0.0,100.0,0.0,0.0,100.0,14.840067374722222,95.76290936805555,21.166176729166665,96.43839143777778,15.005304794791666,119.64303429,9.181484768333336,136.89314302916668,116.20930555555556,1459.0,9.005116666666666,5.250465277777778
39,256968000,Cargo ship,Japan,1585254994,41.633567,143.08023300000002,13.7,1585256814,41.6338,142.94653300000002,13.7,11.11156046799484,1820,21.978910815813972,6.937248195970696,87.01307967032966,1018.5973840659341,0.0,0.0,100.0,13.728027777777779,37.65944261294261,100.0,17.96853575859951,148.5375867153846,26.872863679191084,149.86209806009157,29.33864824799176,251.97891270402934,37.63832209636874,261.6065046015293,149.98692032967034,1468.698285103785,5.243045051892552,2.5953422649572646
40,256968000,Cargo ship,Japan,1585256004,41.633767,143.005483,13.7,1585256814,41.6338,142.94653300000002,13.7,4.899206651969901,810,21.77425178653289,7.005691111111111,87.02938888888887,1018.5941222222223,0.0,0.0,100.0,2.44688888888889,28.169388888888893,100.0,17.75420065733333,150.35630994444443,26.542019123611116,151.67652824222222,29.426761409222223,250.9273425222222,37.62747307327778,260.7527317255556,149.9706111111111,1468.946222222222,5.31873,2.6551394444444445
41,256968000,Cargo ship,Japan,1585256814,41.6338,142.94653300000002,13.7,1585257305,41.633717,142.91108300000002,13.7,2.946187426234391,491,21.601374204569876,7.068622222222222,87.18319444444444,1018.5633611111111,0.0,0.0,100.0,0.0,22.05375,100.0,17.391101167777776,152.52688307222223,25.984572557083332,153.76254902777777,29.770403278611113,250.80164869444445,37.82347421625,260.2919770361111,149.81680555555556,1469.0,5.404269444444445,2.7507569444444444
42,257350000,Cargo ship,Japan,1555531114,41.631265,142.985945,8.0,1555531394,41.630513,143.003945,8.0,1.4983428302047457,280,19.26440781691816,6.976571309523809,95.99633134920634,1012.8029999999999,0.0,0.0,99.88260317460318,100.0,99.88260317460318,0.0,12.396364380345238,165.17183249694443,22.888172462734126,187.1997950647619,24.884062465303572,175.85080428628967,26.096516051319448,164.9254740155159,106.01133134920634,1464.9963313492062,10.29611007936508,8.207930178571429
43,257350000,Cargo ship,Japan,1587072550,41.637705,142.981428,UNK,1587072751,41.636922999999996,142.996895,UNK,1.2882959544840589,201,23.073957393744337,4.303647222222223,81.54208333333332,1025.7028055555554,0.0,0.0,0.0,0.0,0.0,0.0,0.9154417176944445,114.39374271041667,1.1202266215555556,111.31259134652777,21.475928244583336,332.54838568611115,33.52054583694444,335.2586143527777,204.02805555555557,1492.5420833333333,1.7251402777777778,-5.215511111111111
44,259545000,Cargo ship,Japan,1538173983,41.58115,142.928517,6.7,1538175624,41.580717,143.0539,6.7,10.428956134821597,1641,22.87888000326493,15.385573537477148,80.0,1021.5336298750763,0.0,0.0,68.40691499085924,0.0,68.40642748324193,10.0,8.550861550511504,209.31457010221666,12.488677737727757,207.45400388017217,14.098153264521633,224.12418167659203,17.63447531556368,236.41452773252587,178.33625,1524.5575487507617,13.381063962522852,4.424338962522851
45,269095000,Cargo ship,Japan,1543505734,41.628333000000005,142.933333,6.9,1543506504,41.630078000000005,142.99041200000002,6.9,4.748013910220325,770,22.19850659323788,4.1420111111111115,75.0,1017.9699722222222,0.06997222222222221,0.048980555555555555,100.0,0.0,0.0,100.0,24.20109261027778,273.15254825555553,36.52811384694445,272.0692552361111,43.52465200138889,260.9578373416667,64.16397311138888,257.64613699722224,143.0,1421.3002777777779,1.4180444444444444,-10.375894444444445
